date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_fifa_rank,home_fifa_points,away_fifa_rank,away_fifa_points,outcome,rank_diff,point_diff,is_neutral,match_weight,home_recent_form,home_recent_scoring,away_recent_form,away_recent_scoring,h2h_goal_diff,stage,group
2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,False,15.0,1652.33,59.0,1416.66,,-44.0,235.66999999999985,0,4.0,2.2,1.8,1.0,1.2,1.25,Group Stage,Group A
2026-06-11,Korea Republic,Czech Republic,,,FIFA World Cup,Zapopan,Mexico,True,22.0,1572.87,34.0,1506.23,,-12.0,66.63999999999987,1,4.0,1.8,1.4,3.2,3.4,-1.3333333333333333,Group Stage,Group A
2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False,48.0,1461.74,75.0,1332.3,,-27.0,129.44000000000003,0,4.0,1.8,1.4,2.6,1.2,-0.0,Group Stage,Group B
2026-06-12,USA,Paraguay,,,FIFA World Cup,Inglewood,United States,False,11.0,1676.52,58.0,1427.11,,-47.0,249.41000000000008,0,4.0,1.8,2.4,1.8,1.8,0.5555555555555556,Group Stage,Group C
2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,True,35.0,1504.06,19.0,1617.24,,16.0,-113.18000000000006,1,4.0,0.2,0.4,2.4,2.4,1.0,Group Stage,Group B
2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,True,4.0,1791.85,12.0,1669.44,,-8.0,122.40999999999984,1,4.0,2.0,2.6,2.6,3.0,1.3333333333333333,Group Stage,Group D
2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,True,86.0,1274.46,39.0,1497.18,,47.0,-222.72000000000003,1,4.0,2.0,1.6,1.8,2.0,0.0,Group Stage,Group D
2026-06-13,Australia,Türkiye,,,FIFA World Cup,Vancouver,Canada,True,23.0,1571.29,42.0,1493.38,,-19.0,77.90999999999985,1,4.0,1.2,1.2,4.6,2.0,-1.5,Group Stage,Group C
2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True,16.0,1646.78,150.0,107.0,,-134.0,1539.78,1,4.0,4.2,3.6,1.6,1.8,-0.0,Group Stage,Group E
2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,True,37.0,1499.69,30.0,1517.54,,7.0,-17.84999999999991,1,4.0,2.4,2.4,1.8,1.2,-0.0,Group Stage,Group E
2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True,7.0,1746.66,17.0,1628.81,,-10.0,117.85000000000014,1,4.0,2.4,1.6,3.0,1.6,1.3333333333333333,Group Stage,Group F
2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True,28.0,1522.19,41.0,1494.06,,-13.0,28.13000000000011,1,4.0,3.0,2.0,1.2,0.6,0.25,Group Stage,Group F
2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True,20.0,1611.16,107.0,1197.68,,-87.0,413.48,1,4.0,2.0,2.2,0.6,1.0,1.5,Group Stage,Group G
2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True,3.0,1797.98,36.0,1502.34,,-33.0,295.6400000000001,1,4.0,3.0,3.2,1.6,1.0,-0.75,Group Stage,Group G
2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True,56.0,1431.3,14.0,1663.44,,42.0,-232.1400000000001,1,4.0,0.6,1.0,1.2,0.8,0.0,Group Stage,Group H
2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,True,8.0,1729.92,65.0,1380.53,,-57.0,349.3900000000001,1,4.0,2.6,2.0,1.2,1.4,-0.0,Group Stage,Group H
2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True,2.0,1837.47,18.0,1623.34,,-16.0,214.1300000000001,1,4.0,3.6,2.6,1.8,1.6,-1.5,Group Stage,Group I
2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True,55.0,1433.07,46.0,1466.48,,9.0,-33.41000000000008,1,4.0,2.0,0.8,3.2,2.4,0.0,Group Stage,Group I
2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,True,1.0,1860.14,44.0,1474.13,,-43.0,386.01,1,4.0,3.0,3.2,2.0,1.8,1.0,Group Stage,Group J
2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,True,25.0,1560.03,68.0,1374.13,,-43.0,185.89999999999984,1,4.0,3.4,2.0,1.0,1.6,0.0,Group Stage,Group J
2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,True,6.0,1747.04,61.0,1400.93,,-55.0,346.1099999999999,1,4.0,2.4,2.6,2.6,1.2,-0.0,Group Stage,Group K
2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True,62.0,1397.41,12.0,1669.44,,50.0,-272.03,1,4.0,1.2,1.0,1.8,2.0,-0.0,Group Stage,Group K
